UID	Health Risk	Confirmed Case	Probable case	Suspected Case	Community Case	Note	Threshold	Key Message	TEMPORARY
17	Pandemic (H1N1) 2009 virus infection	An individual with a laboratory-confirmed pandemic (H1N1) 2009 virus infection by one or more of the following tests: a) PCR; b) viral culture; c) 4-fold rise in pandemic (H1N1) 2009 virus-specific neutralizing antibodies.		An individual presenting with influenza-like-illness (sudden onset of fever > 38 °C and cough or sore throat in the absence of another diagnosis) with a history of exposure to a pandemic (H1N1) 2009 virus.					
18	Hypertension	Any individual presenting on at least two occasions with a resting blood pressure measurement (based on the average of 3 readings) at or above 140 mm Hg for systolic pressure, or greater than or equal to 90 mm Hg for diastolic pressure.		Any individual presenting with a resting blood pressure measurement (based on the average of 3 readings) at or above 140 mm Hg for systolic pressure, OR greater than or equal to 90 mm Hg for diastolic pressure.					
19	Influenza-like Illness (ILI)	Meets the clinical case definition and is laboratory confirmed (laboratory results must be positive for influenza virus).		A person, child or adult with: Sudden onset of fever > 38 ºC AND Cough or sore throat in the absence of other diagnoses.	Any person with fever and cough or sore throat or nasal discharge				
20	Crimean-Congo Haemorrhagic Fever (CCHF)	A suspected case with laboratory confirmation (positive IgM antibody, PCR, viral isolation or IgG seroconversion by ELISA or IFA) OR epidemiologic link to confirmed cases or outbreak.		Illness with sudden onset of fever, malaise, weakness, irritability, headache, severe pain in limbs and loins and marked anorexia. Early development of flush on face and chest and conjunctival infection, haemorrhagic enanthem of soft palate, uvula and pharynx, and often fine petechial rash spreading from the chest and abdomen to the rest of the body, sometimes with large purpuric areas.					
21	Lassa Fever	A suspected case that is laboratory confirmed (positive IgM antibody, PCR or virus isolation) or epidemiologically linked to a laboratory confirmed case.		Illness with gradual onset with one or more of the following: a) malaise; b) fever; c) headache; d) sore throat; e) cough; f) nausea; g) vomiting; h) diarrhoea; i) myalgia; j) chest pain hearing loss AND a history of contact with excreta of rodents or with a case of Lassa Fever.					
22	Leprosy	A person showing at least two cardinal signs of leprosy and who has not completed a full course of treatment with Multi Drug Therapy (MDT).		A person showing one of three cardinal signs of leprosy: a) hypo-pigmented or reddish skin lesion; b) loss or decrease of sensations in skin patch; c) enlargement or peripheral nerve.	Any person with light or reddish skin lesions with definite loss of sensation				WHO (Cases)
23	Lymphatic Filariasis	A person with positive laboratory diagnosis of microfilaremia in blood smear, filarial antigenaemia or positive ultrasound test.		Resident of an endemic area with a clinical sign of hydrocoele or lymphoedema for which other causes of these findings have been excluded.					
24	Malaria (uncomplicated)	Any person with fever or history of fever within 24 hours; AND with laboratory confirmation of diagnosis by malaria blood film or other diagnostic test for malaria parasites.		Any person with fever or history of fever within 24 hours; without signs of severe disease (vital organ dysfunction) is diagnosed clinically as malaria.	Any person with fever in a malaria endemic area. Any under five child who has an illness with high fever and a danger sign: a) lethargy; b) unconsciousness; c) vomits everything; d) convulsions; e) unable to drink or breast-feed)				WHO (Cases)
25	Malaria (severe)	Any patient hospitalized with P. falciparumasexual parasitaemia as confirmed by laboratory tests with accompanying symptoms and signs of severe disease (vital organ dysfunction) diagnosed through laboratory.		Any patient hospitalised with severe febrile disease with accompanying vital organ dysfunction diagnosed clinically.					WHO (Cases, Deaths)
26	Malnutrition (newborns)	Any new born with a birth weight less than 2500 grams (or 5.5 lbs).							WHO (% low birth weight)
27	Malnutrition (children)	a) Children under five who are underweight (indicator: weight for age<-2 ZScore); b) Children 6 to 59 months with MUAC<11.5 cm (high risk of mortality); c) Bilateral pitting oedema							WHO (Children U5 stunted)
28	Malnutrition (pregnant women)	Pregnant women given birth to low birth weight babies (birth weight < 2.5 Kg).				Poor nutritional and health status of the women, can predict which population groups may benefit from improved antenatal care of women and neonatal care for infants.			
29	Maternal Deaths	The death of a woman while pregnant or within 42 days of the delivery or termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental or incidental causes.							WHO (Maternal mortality ratio)
30	Measles	A suspected case with laboratory confirmation (positive IgM antibody) or epidemiological link to confirmed cases in an outbreak.		Any person with fever and maculopapular (non-vesicular) generalized rash and cough, coryza or conjunctivitis (red eyes) or any person in whom a clinician suspects measles.	Any person with fever and rash		1		WHO (Cases)
31	Meningococcal Meningitis	A suspected case confirmed by isolation ofN. meningitidisfrom CSF or blood.		Any person with sudden onset of fever (>38.5oC rectal or 38.0oC axillary) and one of the following signs: neck stiffness, altered consciousness or other meningeal signs.	Any person with fever and neck stiffness				WHO (Cases)
32	Neonatal tetanus	No laboratory confirmation recommended.		Any newborn with a normal ability to suck and cry during the first two days of life, and who, between the 3rd and 28th day of age, cannot suck normally, and becomes stiff or has convulsions or both.	Any newborn who is normal at birth, and then after 2 days, becomes stiff and unable to suck or feed or has convulsions.				WHO (Cases)
33	New AIDS Cases	A positive ELISA for confirming HIV and a rapid test for confirming the positive results are sufficient for an epidemiologic case definition for HIV Infection.				WHO/AFRO recommends that countries use either Bangui or Abidjan HIV/AIDSR case definitions.			WHO (HIV prevelence 15-49 yo)
34	Noma	Any person with a gangrenous disease which starts as gingival ulceration and spreads rapidly through the tissues of the mouth and face, destroying the soft and hard tissues.		Any child with a mouth ulcer and other warning signs such as: a) malnutrition; b) poor hygiene; c) recent illness from: measles, persistent diarrhoea or malaria should be regarded as a potential noma case.					
35	Onchocerciasis	A suspected case that is laboratory confirmed by presence of one or more of the following: a) microfilariae in skin snips; b) adult worms in excised nodules; c) typical ocular manifestations (such as slit-lamp observations of microfilariae in the cornea, the anterior chamber, or the vitreous body).		In an endemic area, any person with fibrous nodules in subcutaneous tissues.	Any person in an endemic area with fibrous nodules under the skin				
36	Plague	Suspected case confirmed by isolation of Yersinia pestisfrom blood or aspiration of buboes, OR epidemiologic link to confirmed cases or outbreak.		Any person with a) sudden onset of fever; b) chills; c) headache; d) severe malaise; e) prostration; f) very painful swelling of lymph nodes; OR a) cough with blood stained sputum; b) chest pain; c) difficulty in breathing.	Any person with painful swelling under the arms or in the groin area. In an area known to have plague, any person with cough, chest pain and fever.				
37	Poliomyelitis (Acute flaccid paralysis)	A suspected case with virus isolation in stool.		Any child under 15 years of age with acute flaccid paralysis or any person with paralytic illness at any age in whom the clinician suspects poliomyelitis.	Any child with a sudden onset of acute paralytic disease				WHO (Cases)
38	Rabies	A suspected case that is laboratory confirmed.		A person with one or more of the following: a) headache; b) neck pain; c) nausea; d) fever; e) fear of water; f) anxiety; g) agitation; h) abnormal tingling sensations; i) pain at the wound site; when contact with a rabid animal is suspected.	Any person with a sense of apprehension, headache, fever, malaise and indefinitive sensory changes often referred to the site of a preceding animal bite. Excitability and hydrophobia are frequent symptoms.				
39	Rift Valley Fever (RVF)	Any patient who, after clinical screening, is positive for anti- RVF IgM ELISA antibodies (typically appear from fourth to sixth day after onset of symptoms) or tests positive on Reverse Transcriptase Polymerase Chain Reaction (RT-PCR).		Early disease: Acute febrile illness (axillary temperature >37.5 oC or oral temperature of >38.0oC) of more than 48 hours duration that does not respond to antibiotic or antimalarial therapy, and is associated with: a) direct contact with sick or dead animal or its products; b) recent travel (during last week) to, or living in an area where, after heavy rains, livestock die or abort, and where RVF virus activity is suspected/confirmed; c) abrupt onset of any 1 or more of the following: exhaustion, backache, muscle pains, headache (often severe), discomfort when exposed to light, and nausea/vomiting; d) nausea/vomiting, diarrhoea OR abdominal pain with 1 or more of the following: a) severe pallor (or Hb < 8 gm/dL); b) low platelets (thrombocytopenia) as evidence by presence of small skin and mucous membrane haemorrhages (petechiae) (or platelet count < 100x109 / dL); c) evidence of kidney failure (edema, reduced urine output) (or creatinine > 150 mol/L); d) evidence of bleeding into skin, bleeding from puncture wounds, from mucous membranes or nose, from gastrointestinal tract and unnatural bleeding from vagina; e) clinical jaundice (3-fold increase above normal of transaminases) Late stages of diseases or complications (2-3 weeks after onset): Patients who have experienced, in the preceding month a flu-like illness, with clinical criteria, who additionally develop the following: a) CNS manifestations which resemble meningo-encephalitis; b) unexplained visual loss; c) unexplained death following sudden onset of acute flu-like illness with haemorrhage, meningo-ecephalitis, or visual loss during the preceding month.					
40	Severe Acute Respiratory Infections (SARIs) (persons ≥ 5 years old)			Any severely ill person presenting with manifestations of acute lower respiratory infection with: a) sudden onset of fever (>38 °C); b) cough or sore throat; c) shortness of breath, or difficulty breathing; d) with or without Clinical or radiographic findings of pneumonia OR any person who died of an unexplained respiratory illness.					
41	Severe Acute Respiratory Syndrome (SARS)	An individual who tests positive for SARS-CoV infection by the WHO recommended testing procedures.		An individual with: a) A history of fever, or documented fever ≥ 38 °C; b) One or more symptoms of lower respiratory tract illness (cough, difficulty breathing, shortness of breath); c) Radiographic evidence of lung infiltrates consistent with pneumonia or ARDS or autopsy findings consistent with the pathology of pneumonia or ARDS without an identifiable cause; d) No alternative diagnosis can fully explain the illness.			1		
42	Pneumonia (Children under 5)	A child presenting with cough or difficult breathing and: a) 50 or more breaths per minute for infant age 2 months up to 1 year; b) 40 or more breaths per minute for young child 1 year up to 5 years.			Any child less than 5 years of age with cough and fast breathing or difficulty in breathing.	A young infant age 0 up to 2 months with cough and fast breathing is classified in IMCI as “serious bacterial infection” and is referred for further evaluation.			WHO (Cases)
43	Severe Pneumonia (Children under 5)	Radiographic or laboratory confirmation of pneumonia may not be feasible in most districts.		A child presenting with a) cough; b) difficult breathing and any general danger sign; c) chest indrawing; d) stridor in a calm child. General danger signs for children 2 months to 5 years are: a) unable to drink or breast feed; b) vomits everything; c) convulsions; d) lethargy; e) unconsciousness. 					
44	Genital ulcer syndrome (non-vesicular)	Any suspected case confirmed by a laboratory method.		Any male with an ulcer on the penis, scrotum, or rectum, with or without inguinal adenopathy, or any female with ulcer on labia, vagina, or rectum, with or without inguinal adenopathy.	Any person male or female who has an urethral/vaginal discharge or genital ulcer	Sexually Transmitted Infection (STI)			
45	Urethral discharge syndrome	A suspected case confirmed by a laboratory method (for example Gram stain showing intracellular Gram- negative diplococci).		Any male with urethral discharge with or without dysuria.	Any person male or female who has an urethral/vaginal discharge or genital ulcer	Sexually Transmitted Infection (STI)			
46	Smallpox (Variola)	A clinically compatible case that is laboratory confirmed.	A case that meets the clinical case definition, is not laboratory confirmed, but has an epidemiological link to a confirmed or probable case.	An illness with acute onset of fever > 38.3 C (101 F) followed by a rash characterized by vesicles or firm pustules in the same stage of development without other apparent cause.			1		
47	Trachoma	Any patient with red sticky eyes who complains of pain and itchiness of the eyes where examination of the eyes confirms one of the stages of Trachoma infection according to the WHO Simplified Trachoma Grading System.		Any patient with red sticky eyes who complains of pain and itchiness of the eyes.					
48	Trypanosomiasis	A suspected case confirmed by card agglutination trypanosomal test (CATT) or by isolation of trypanosomes in blood lymph nodes or cerebrospinal fluid.		Early stage: a painful chancre originating as a papule and then evolving into a nodule at the primary fly bite site. There may be a) fever; b) intense headache; c) insomnia; d) painless lymphadenopathy; e) anaemia; f) local oedema; g) rash.  Late stage: a) cachexia; b) somnolence; c) central nervous system signs.					
49	Tuberculosis	Smear-positive pulmonary TB: a) a suspected patient with at least 2 sputum specimens positive for acid-fast bacilli (AFB); b) one sputum specimen positive for AFB by microscopy and radiographic abnormalities consistent with active PTB as determined by the treating medical officer; c) one positive sputum smear by microscopy and one sputum specimen positive on culture for AFB. Smear negative PTB: a patient who fulfils all the following criteria: a) two sets taken at least 2 weeks apart of at least two sputum specimens negative for AFB on microscopy, radiographic abnormalities consistent with PTB and a lack of clinical response despite one week of a broad spectrum antibiotic, a decision by a physician to treat with a full course of anti-TB chemotherapy; b) a patient who fulfils all the following criteria: severely ill, at least two sputum specimens negative for AFB by microscopy, radiographic abnormalities consistent with extensive pulmonary TB (interstitial and miliary), a decision by a physician to treat with a full course of anti-TB chemotherapy; c) a patient whose initial sputum smears were negative, who had sputum sent for culture initially, and whose subsequent sputum culture result is positive.		Any person with a cough of 3 weeks or more.	Any person with cough for 3 weeks or more				WHO (TB incidence AND prevelence)
50	Typhoid Fever	Suspected case confirmed by isolation of Salmonella typhifrom blood, bone marrow, bowel fluid or stool.		Any person with gradual onset of steadily increasing and then persistently a) high fever; b) chills; c) malaise; d) headache; e) sore throat; f) cough; g) abdominal pain and constipation; h) diarrhoea.	Any person with a prolonged fever during the previous 3 weeks or more				
51	West Nile Fever	Confirmation of West Nile Fever is through laboratory diagnostics to identify WNV-specific IgM.		A hospitalized case of encephalitis due to unknown cause.					
52	Yellow fever	A probable case AND one of the following: a) Detection of YF-specific* IgM; b) Detection of four-fold increase in YF IgM and/or IgG antibody titres between acute and convalescent serum samples; c) Detection of YFV-specific* neutralizing antibodies; OR one of the following: a) Detection of YF virus genome in blood or other organs by PCR; b) Detection of yellow fever antigen in blood, liver or other organs by immunoassays; OR Isolation of the yellow fever virus.	A suspected case AND one of the following: a) epidemiological link to a confirmed case or an outbreak; b) positive post-mortem liver histopathology.	Any person with acute onset of fever, with jaundice appearing within 14 days of onset of the first symptoms.		*YF-specific means that antibody tests (such as IgM or neutralizing antibody) for other prevalent flavivirus are negative. This testing should include at least IgM for Dengue and West Nile and may include other flavivirus depending on local epidemiology.			WHO (Cases)
